,stock_id,stock_name,industry_category,list_type,list_date
317,00721B,元大中國債3-5,上櫃指數股票型基金(ETF),tpex,2024-10-16
2801,00722B,群益投資級電信債,上櫃ETF,tpex,2025-09-30
2802,00723B,群益投資級科技債,上櫃ETF,tpex,2025-09-30
2803,00724B,群益投資級金融債,上櫃ETF,tpex,2025-09-30
2804,00725B,國泰投資級公司債,上櫃ETF,tpex,2025-09-30
2805,00726B,國泰新興投等債,上櫃ETF,tpex,2025-09-30
2806,00727B,國泰優選非投等債,上櫃ETF,tpex,2025-09-30
2807,00728,第一金工業30,ETF,twse,2025-09-30
502,00729R,第一金工業30反1,ETF,twse,2024-12-04
2808,00730,富邦臺灣優質高息,ETF,twse,2025-09-30
2809,00731,復華富時高息低波,ETF,twse,2025-09-30
500,00732,國泰RMB短期報酬,ETF,twse,2024-12-04
2810,00733,富邦臺灣中小,ETF,twse,2025-09-30
2732,00734B,台新JPM新興債,上櫃ETF,tpex,2025-09-30
2785,00735,國泰臺韓科技,ETF,twse,2025-09-30
2731,00736,國泰新興市場,ETF,twse,2025-09-30
2675,00737,國泰AI機器人,ETF,twse,2025-09-30
2650,00738U,期元大道瓊白銀,ETF,twse,2025-09-30
2651,00739,元大MSCI A股,ETF,twse,2025-09-30
2652,00740B,富邦全球投等債,上櫃ETF,tpex,2025-09-30
2653,00741B,富邦全球非投等債,上櫃ETF,tpex,2025-09-30
419,00742,新光內需收益,ETF,twse,2024-12-04
418,00743,國泰中國A150,ETF,twse,2024-12-04
288,00744B,國泰中國政金債5+,上櫃指數股票型基金(ETF),tpex,2023-11-22
117,00745B,富邦中政債0-1,上櫃指數股票型基金(ETF),tpex,2022-12-11
2654,00746B,富邦A級公司債,上櫃ETF,tpex,2025-09-30
120,00747B,FH中國政策債,上櫃指數股票型基金(ETF),tpex,2022-12-28
123,00748B,凱基中國債3-10,上櫃指數股票型基金(ETF),tpex,2023-02-22
2655,00749B,凱基新興債10+,上櫃ETF,tpex,2025-09-30
2656,00750B,凱基科技債10+,上櫃ETF,tpex,2025-09-30
2657,00751B,元大AAA至A公司債,上櫃ETF,tpex,2025-09-30
2658,00752,中信中國50,ETF,twse,2025-09-30
2659,00753L,中信中國50正2,ETF,twse,2025-09-30
2660,00754B,群益AAA-AA公司債,上櫃ETF,tpex,2025-09-30
2662,00755B,群益投資級公用債,上櫃ETF,tpex,2025-09-30
2674,00756B,群益投等新興公債,上櫃ETF,tpex,2025-09-30
2663,00757,統一FANG+,ETF,twse,2025-09-30
2664,00758B,復華能源債,上櫃ETF,tpex,2025-09-30
2665,00759B,復華製藥債,上櫃ETF,tpex,2025-09-30
2666,00760B,復華新興企業債,上櫃ETF,tpex,2025-09-30
2667,00761B,國泰A級公司債,上櫃ETF,tpex,2025-09-30
2668,00762,元大全球AI,ETF,twse,2025-09-30
2669,00763U,期街口道瓊銅,ETF,twse,2025-09-30
2670,00764B,群益25年美債,上櫃ETF,tpex,2025-09-30
128,00765B,群益中國政金債,上櫃指數股票型基金(ETF),tpex,2023-06-01
437,00766L,台新MSCI中國正2,ETF,twse,2024-12-04
438,00767,FH美國金融股,ETF,twse,2024-12-04
2671,00768B,復華20年美債,上櫃ETF,tpex,2025-09-30
2672,00770,國泰北美科技,ETF,twse,2025-09-30
2673,00771,元大US高息特別股,ETF,twse,2025-09-30
2649,00772B,中信高評級公司債,上櫃ETF,tpex,2025-09-30
2648,00773B,中信優先金融債,上櫃ETF,tpex,2025-09-30
440,00774B,新光中國政金綠債,ETF,twse,2024-12-04
441,00774C,新光中政金綠債+R,ETF,twse,2024-12-04
2647,00775B,新光投等債15+,ETF,twse,2025-09-30
442,00776,新光ICE美國權值,ETF,twse,2024-12-04
